TIG_PostNL::Enabled,Activé
TIG_PostNL::A shipment will only be considered a letter box parcel if the purchased qty of this product does not exceed this amount.,Un envoi ne sera traité comme un paquet que si le nombre commandé de ce produit ne dépasse pas cette valeur.
TIG_PostNL::PostNL - Create shipments, print labels and confirm,PostNL - Réaliser des envois, imprimer des étiquettes d'envoi et annoncer
TIG_PostNL::You have chosen a value for the '%s' field that is not supported. Please select a option that you have selected in the '%s' field, otherwise you may not be able to send shipments of this type.,Vous avez choisi une valeur pour le champ '%s' qui n'est pas soutenue. Veuillez sélectionner une option qui est reprise dans le champ '%s'. Sinon, il ne sera pas possible d'expédier les envois de ce type.
TIG_PostNL::Use configuration value,Utilisation de la valeur de configuration
TIG_PostNL::Item columns,Nombre de colonnes
TIG_PostNL::You can specify which item columns you would like to show on your packing slip pdf. We recommend you experiment with these settings before using them in a production environment. It may be diffcult to predict the outcome of these settings without trying them out by printing a PostNL packing slip.,Vous pouvez indiquer ici le nombre de colonnes que vous voulez afficher sur la fiche de colisage. Nous recommandons que vous expérimentiez ces paramètres avant une utilisation dans un environnement de production. Il peut être ennuyeux d'utiliser ces paramètres sans essai préalable en imprimant une fiche de colisage.
TIG_PostNL::Width,Largeur
TIG_PostNL::Position,Position
TIG_PostNL::Add column,Ajouter colonne
TIG_PostNL::No default product options are available for this shipment. Please check that you have correctly configured the available product options in the PostNL extension's configuration.,Aucune option de produit par défaut n'est disponible pour cet envoi. Veuillez contrôler si vous avez correctement configuré les options de produit disponibles dans la configuration de l'extension PostNL.
TIG_PostNL::The default product option was not available for this shipment, so another product option was chosen. Please check if the default product options are configured correctly in the PostNL extension's configuration.,L'option de produit par défaut n'est pas disponible pour cet envoi. Une autre option de produit disponible est utilisée. Veuillez contrôler si vous avez correctement configuré les options de produit disponibles dans la configuration de l'extension PostNL.
TIG_PostNL::PostNL shipping methods,Méthodes d'envoi PostNL
TIG_PostNL::Please select the shipping methods that will be considered to be 'PostNL' by this extension. Orders placed using one of these shipping methods may be processed using the PostNL extension.,Sélectionnez toutes les méthodes d'envoi qui seront considérées par l'extension comme étant « PostNL ». Les commandes qui sont passées avec ces méthodes d'envoi seront traitées par l'extension PostNL.
TIG_PostNL::PostNL Delivery Options - Allow Parcel Dispensers,Options de livraison PostNL - distributeurs automatique de colis autorisés
TIG_PostNL::PostNL Delivery Options - Allow Time Frames,Options de livraison PostNL - calendrier autorisé
TIG_PostNL::PostNL Delivery Options - Allow Post Office Locations,Options de livraison PostNL - bureau de poste autorisé
TIG_PostNL::This shipment will probably not fit as a letter box parcel, because the purchased products do not fit.,Cet envoi ne convient certainement pas à une boîte aux lettres, car les produits ne s'y prêtent pas.
TIG_PostNL::This shipment will probably not fit as a letter box parcel, because the purchased products are too heavy.,Cet envoi ne convient certainement pas à une boîte aux lettres, car les produits sont trop lourds.
TIG_PostNL::PostNL Delivery Options - Allow Delivery Days,Options de livraison PostNL - jours de livraison autorisés
TIG_PostNL::Enable delivery days,Activer les jours de livraison
TIG_PostNL::Delivery days allow customers to choose on which date they want their order delivered.,Les jours de livraison permettent aux clients de choisir quel jour ils veulent faire livrer leurs commandes.
TIG_PostNL::Letter box parcels,Paquets
TIG_PostNL::Show PostNL delivery options for letter box parcel orders,Afficher les options de livraison PostNL pour les commandes de paquets
TIG_PostNL::By default delivery options are not shown for shipments sent as a letterbox parcel. If you choose to show delivery options nonetheless, you might be forced to process an order as a regular package even though the package complies with the weight and size of a letterbox parcel.,Pour les envois expédiés en tant que paquets, aucune option standard n'est affichée. Si vous désirez quand même l'afficher, il se peut qu'un produit répondant aux critères d'un paquet soit envoyé en tant que colis ordinaire car votre client l'a choisi.
TIG_PostNL::Show all delivery options for letter box parcel orders,Afficher toutes les options de livraison pour les commandes de paquets
TIG_PostNL::If set to 'yes' the same delivery options will be shown for letter box parcel orders as for regular orders. Please note that if the customer chooses a delivery option, the order may no longer be shipped as a letter box parcel.,Si ce paramètre est activé, les mêmes options de livraison seront affichées pour les commandes de paquets et pour les commandes de colis. N.B. si un client choisit une option de livraison, la commande ne peut plus être envoyée en tant que paquet.
TIG_PostNL::Show delivery days for letter box parcel orders.,Afficher tous les jours de livraison pour les commandes de paquets
TIG_PostNL::Show post office locations for letter box parcels.,Afficher tous les bureaux de poste pour les commandes de paquets
TIG_PostNL::If the customer chooses to have an order delivered to a post office location the order may no longer be shipped as a letter box parcel.,Si le client choisit un retrait en bureau de poste, la commande devra être envoyée en tant que colis.
TIG_PostNL::Show parcel dispenser locations for letter box parcels,Afficher les distributeurs automatiques de colis pour les commandes de paquets
TIG_PostNL::If the customer chooses to have an order delivered to a parcel dispenser the order may no longer be shipped as a letter box parcel.,Si le client choisit un retrait dans un distributeur automatique de colis, la commande devra être envoyée en tant que colis.
TIG_PostNL::Allow for letter box parcels,Autoriser les commandes de paquets
TIG_PostNL::This option is only applicable when using letter box parcels and the letter box parcel calculation mode is set to 'automatic'.,Ce paramètre est uniquement applicable pour les commandes de paquets quand le mode de paiement du paquet est réglé sur « automatique ».
TIG_PostNL::Letter box parcels cannot be shipped using COD. If an order is a letter box parcel and the customer chooses to pay using PostNL COD, the order will be shipped as a regular parcel instead.,Les paquets ne peuvent pas être livrés contre remboursement. Si une commande peut être envoyée en tant que paquet, mais que le client opte pour l'envoi contre remboursement, l'envoi sera expédié en tant que colis.
TIG_PostNL::This action is not available for order #%s, because it was not placed using PostNL.,Cette action n'est pas disponible pour la commande #%s, car cette dernière n'a pas été passée via PostNL.
TIG_PostNL::Convert,Transformer
TIG_PostNL::To Letter Box Parcel,En paquet
TIG_PostNL::To Package,En colis
TIG_PostNL::The shipment has been converted to a package.,L'envoi a été transformé en colis.
TIG_PostNL::The shipment has been converted to a letter box parcel.,L'envoi a été transformé en paquet.
TIG_PostNL::Are you sure you wish to convert this shipment to a letter box parcel? You will need to confirm this shipment with PostNL again before you can send it. This action will remove all barcodes and labels associated with this shipment. You can not undo this action.,Êtes-vous sûr de vouloir transformer cet envoi en paquet ? Vous devrez à nouveau annoncer cet envoi à PostNL avant de pouvoir l'expédier. Cette action entraînera la suppression de toutes les étiquettes d'envoi et de tous les code-barres liés à cet envoi. Vous ne pourrez pas revenir en arrière.
TIG_PostNL::Are you sure you wish to convert this shipment to a package? You will need to confirm this shipment with PostNL again before you can send it. This action will remove all barcodes and labels associated with this shipment. You can not undo this action.,Êtes-vous sûr de vouloir transformer cet envoi en colis ? Vous devrez à nouveau annoncer cet envoi à PostNL avant de pouvoir l'expédier. Cette action entraînera la suppression de toutes les étiquettes d'envoi et de tous les code-barres liés à cet envoi. Vous ne pourrez pas revenir en arrière.
TIG_PostNL::PostNL - Convert to Letter Box Parcel,PostNL - Transformer en paquet
TIG_PostNL::PostNL - Convert to Package,PostNL - Transformer en colis
TIG_PostNL::possibly letter box parcel,paquet possible
TIG_PostNL::Expected delivery date,Date de livraison attendue
TIG_PostNL::Change,Modifier
TIG_PostNL::Change Product Option,Modifier l'option de produit
TIG_PostNL::Please choose a product option.,Veuillez choisir une option de produit
TIG_PostNL::Submit,Envoyer
TIG_PostNL::Cancel,Annuler
TIG_PostNL::The shipment's product option has been changed succesfully.,L'option de produit a été modifiée avec succès.
TIG_PostNL::Shipment,Envoi
TIG_PostNL::Complete Status History,Historique complet de statut
TIG_PostNL::Confirm,Annoncer
TIG_PostNL::Print Shipping Label,Imprimer l'étiquette d'envoi
TIG_PostNL::Print Packing Slip,Imprimer les fiches de colisage
TIG_PostNL::Create Parcelware Export,Effectuer une exportation Parcelware
TIG_PostNL::Send Track &amp; Trace Email,Envoyer un e-mail Track &amp; Trace
TIG_PostNL::Change Confirmation,Modifier l'annonce
TIG_PostNL::Delete Shipping Labels,Supprimer les étiquettes d'envoi
TIG_PostNL::Convert,Transformer
TIG_PostNL::To Letter Box Parcel,En colis
TIG_PostNL::To Package,En paquet
TIG_PostNL::Change Product Option,Modifier l'option de produit
